Name,Username,Message,Status
Kali,kalikaratestudio,"haha, kali, the 3 ex-wives, bitcoin crash, and still fighting — you’ve definitely seen it all and kept going, respect.  
do you do any coaching around that fighter mindset?",Error: Could not find Kali in search results.
Jake,jakeleiskewillis,"hey Jake, love how you're flipping the script on parenting—turning the chaos of yelling and guilt into confident, peaceful vibes. do you offer 1:1 coaching?",Message sent successfully.
coach.spider,"yo nassaminu, love how you blend mcfit performance with personal motivation - feels like you’re pushing people to a whole new level. do you do 1:1 coaching or is it all through mcfit?","Error sending message: Message: 
Stacktrace:
0   chromedriver                        0x00000001054a55dc cxxbridge1$str$ptr + 3653648
1   chromedriver                        0x000000010549de3c cxxbridge1$str$ptr + 3623024
2   chromedriver                        0x0000000104f08100 cxxbridge1$string$len + 88404
3   chromedriver                        0x0000000104f4a41c cxxbridge1$string$len + 359536
4   chromedriver                        0x0000000104f83ba8 cxxbridge1$string$len + 594940
5   chromedriver                        0x0000000104f3f0fc cxxbridge1$string$len + 313680
6   chromedriver                        0x0000000104f3fd4c cxxbridge1$string$len + 316832
7   chromedriver                        0x000000010547064c cxxbridge1$str$ptr + 3436672
8   chromedriver                        0x0000000105473988 cxxbridge1$str$ptr + 3449788
9   chromedriver                        0x0000000105457a5c cxxbridge1$str$ptr + 3335312
10  chromedriver                        0x000000010547424c cxxbridge1$str$ptr + 3452032
11  chromedriver                        0x0000000105448ce8 cxxbridge1$str$ptr + 3274524
12  chromedriver                        0x000000010548e9dc cxxbridge1$str$ptr + 3560464
13  chromedriver                        0x000000010548eb58 cxxbridge1$str$ptr + 3560844
14  chromedriver                        0x000000010549dad4 cxxbridge1$str$ptr + 3622152
15  libsystem_pthread.dylib             0x000000018e8d72e4 _pthread_start + 136
16  libsystem_pthread.dylib             0x000000018e8d20fc thread_start + 8
"
joe_thetradesmanscoach,"yo joe, love how you're helping tradesmen double their energy. do you work with clients 1:1 too?",Message sent successfully.
heidy_imt,"hey, love seeing a coach with such an interesting background like yours – arab, japanese, chinese, plus leading dodgeball in malaysia... do you do any 1:1 coaching?",Message sent successfully.
panda.coach,"yo josé, just checked out your page man, love how you focus on every aspect of performance - from mobility to gymnastic skills. are you offering coaching for crossfit athletes?","Error sending message: Message: 
Stacktrace:
0   chromedriver                        0x0000000104c355dc cxxbridge1$str$ptr + 3653648
1   chromedriver                        0x0000000104c2de3c cxxbridge1$str$ptr + 3623024
2   chromedriver                        0x0000000104698100 cxxbridge1$string$len + 88404
3   chromedriver                        0x00000001046da41c cxxbridge1$string$len + 359536
4   chromedriver                        0x0000000104713ba8 cxxbridge1$string$len + 594940
5   chromedriver                        0x00000001046cf0fc cxxbridge1$string$len + 313680
6   chromedriver                        0x00000001046cfd4c cxxbridge1$string$len + 316832
7   chromedriver                        0x0000000104c0064c cxxbridge1$str$ptr + 3436672
8   chromedriver                        0x0000000104c03988 cxxbridge1$str$ptr + 3449788
9   chromedriver                        0x0000000104be7a5c cxxbridge1$str$ptr + 3335312
10  chromedriver                        0x0000000104c0424c cxxbridge1$str$ptr + 3452032
11  chromedriver                        0x0000000104bd8ce8 cxxbridge1$str$ptr + 3274524
12  chromedriver                        0x0000000104c1e9dc cxxbridge1$str$ptr + 3560464
13  chromedriver                        0x0000000104c1eb58 cxxbridge1$str$ptr + 3560844
14  chromedriver                        0x0000000104c2dad4 cxxbridge1$str$ptr + 3622152
15  libsystem_pthread.dylib             0x000000018e8d72e4 _pthread_start + 136
16  libsystem_pthread.dylib             0x000000018e8d20fc thread_start + 8
"
lethalshooter,"yo chris, man, i respect the work ethic you’re putting in as a trainer with that precision shooting mindset, not to mention two world records lol. curious, are you still taking on new clients for coaching?",Message sent successfully.
coachnic_,"hey nic, love how you’ve been dialed into making athletes more explosive for 18+ years, man. are you doing most of your coaching online now or in person?",Message sent successfully.
imdanielleroberts,"hey danielle, love how you’re breaking down the myth of “dream jobs” haha finally someone saying what we’re all thinking… do you work 1:1 with your clients?",Message sent successfully.
dr_knuckles_strengthcoach,"yo nakul, saw you’re blending top-notch sport performance with health & fitness - love how you’re using your phD to truly elevate the game. are you coaching both online and in person?",Message sent successfully.
coachaksingh,"yo abhishek, love how you’ve helped over 1400 guys level up - that’s some serious impact. are you still taking 1:1 calls?",Message sent successfully.
the_comeback_coach_,"hey joanna, love how you help people not just move on but truly step into their power after a breakup… magic stuff. are you still doing 1:1 coaching?",Message sent successfully.
coach_acos,"yo acos, love how you're all about crushing average for incredible results - the way you frame that is next-level. are you offering 1:1 coaching or group programs?","Error sending message: Message: 
Stacktrace:
0   chromedriver                        0x00000001006815dc cxxbridge1$str$ptr + 3653648
1   chromedriver                        0x0000000100679e3c cxxbridge1$str$ptr + 3623024
2   chromedriver                        0x00000001000e4100 cxxbridge1$string$len + 88404
3   chromedriver                        0x000000010012641c cxxbridge1$string$len + 359536
4   chromedriver                        0x000000010015fba8 cxxbridge1$string$len + 594940
5   chromedriver                        0x000000010011b0fc cxxbridge1$string$len + 313680
6   chromedriver                        0x000000010011bd4c cxxbridge1$string$len + 316832
7   chromedriver                        0x000000010064c64c cxxbridge1$str$ptr + 3436672
8   chromedriver                        0x000000010064f988 cxxbridge1$str$ptr + 3449788
9   chromedriver                        0x0000000100633a5c cxxbridge1$str$ptr + 3335312
10  chromedriver                        0x000000010065024c cxxbridge1$str$ptr + 3452032
11  chromedriver                        0x0000000100624ce8 cxxbridge1$str$ptr + 3274524
12  chromedriver                        0x000000010066a9dc cxxbridge1$str$ptr + 3560464
13  chromedriver                        0x000000010066ab58 cxxbridge1$str$ptr + 3560844
14  chromedriver                        0x0000000100679ad4 cxxbridge1$str$ptr + 3622152
15  libsystem_pthread.dylib             0x000000018e8d72e4 _pthread_start + 136
16  libsystem_pthread.dylib             0x000000018e8d20fc thread_start + 8
"
coach.rehablotfiie,"hey rehab, love how you're all about helping people improve their relationship with themselves first before others…you still doing 1:1 sessions?","Error sending message: Message: 
Stacktrace:
0   chromedriver                        0x00000001010b15dc cxxbridge1$str$ptr + 3653648
1   chromedriver                        0x00000001010a9e3c cxxbridge1$str$ptr + 3623024
2   chromedriver                        0x0000000100b14100 cxxbridge1$string$len + 88404
3   chromedriver                        0x0000000100b5641c cxxbridge1$string$len + 359536
4   chromedriver                        0x0000000100b8fba8 cxxbridge1$string$len + 594940
5   chromedriver                        0x0000000100b4b0fc cxxbridge1$string$len + 313680
6   chromedriver                        0x0000000100b4bd4c cxxbridge1$string$len + 316832
7   chromedriver                        0x000000010107c64c cxxbridge1$str$ptr + 3436672
8   chromedriver                        0x000000010107f988 cxxbridge1$str$ptr + 3449788
9   chromedriver                        0x0000000101063a5c cxxbridge1$str$ptr + 3335312
10  chromedriver                        0x000000010108024c cxxbridge1$str$ptr + 3452032
11  chromedriver                        0x0000000101054ce8 cxxbridge1$str$ptr + 3274524
12  chromedriver                        0x000000010109a9dc cxxbridge1$str$ptr + 3560464
13  chromedriver                        0x000000010109ab58 cxxbridge1$str$ptr + 3560844
14  chromedriver                        0x00000001010a9ad4 cxxbridge1$str$ptr + 3622152
15  libsystem_pthread.dylib             0x000000018e8d72e4 _pthread_start + 136
16  libsystem_pthread.dylib             0x000000018e8d20fc thread_start + 8
"
the_fear_coach,"hey, love how you're getting to the core of what holds back top performers - fear is hands down the toughest block. do you do 1:1 coaching for that?",Message sent successfully.
coach.bliss_,"hey blissmode, love how you’re all about helping girls finally get the results they should be seeing after so much hard work. do you do mainly 1:1 or do you have a group coaching option too?","Error sending message: Message: 
Stacktrace:
0   chromedriver                        0x0000000104c495dc cxxbridge1$str$ptr + 3653648
1   chromedriver                        0x0000000104c41e3c cxxbridge1$str$ptr + 3623024
2   chromedriver                        0x00000001046ac100 cxxbridge1$string$len + 88404
3   chromedriver                        0x00000001046ee41c cxxbridge1$string$len + 359536
4   chromedriver                        0x0000000104727ba8 cxxbridge1$string$len + 594940
5   chromedriver                        0x00000001046e30fc cxxbridge1$string$len + 313680
6   chromedriver                        0x00000001046e3d4c cxxbridge1$string$len + 316832
7   chromedriver                        0x0000000104c1464c cxxbridge1$str$ptr + 3436672
8   chromedriver                        0x0000000104c17988 cxxbridge1$str$ptr + 3449788
9   chromedriver                        0x0000000104bfba5c cxxbridge1$str$ptr + 3335312
10  chromedriver                        0x0000000104c1824c cxxbridge1$str$ptr + 3452032
11  chromedriver                        0x0000000104becce8 cxxbridge1$str$ptr + 3274524
12  chromedriver                        0x0000000104c329dc cxxbridge1$str$ptr + 3560464
13  chromedriver                        0x0000000104c32b58 cxxbridge1$str$ptr + 3560844
14  chromedriver                        0x0000000104c41ad4 cxxbridge1$str$ptr + 3622152
15  libsystem_pthread.dylib             0x000000018e8d72e4 _pthread_start + 136
16  libsystem_pthread.dylib             0x000000018e8d20fc thread_start + 8
"
coachcath_,"hey cath, love how you're all about helping people hit goals without frustration. do you do 1:1 coaching?",Message sent successfully.
dishake.lol.coach,"yo dishake, man, being a 3x national champ and 6 years in challenger is insane. are you still offering coaching to help people climb 2 leagues?","Error sending message: Message: 
Stacktrace:
0   chromedriver                        0x0000000102f015dc cxxbridge1$str$ptr + 3653648
1   chromedriver                        0x0000000102ef9e3c cxxbridge1$str$ptr + 3623024
2   chromedriver                        0x0000000102964100 cxxbridge1$string$len + 88404
3   chromedriver                        0x00000001029a641c cxxbridge1$string$len + 359536
4   chromedriver                        0x00000001029dfba8 cxxbridge1$string$len + 594940
5   chromedriver                        0x000000010299b0fc cxxbridge1$string$len + 313680
6   chromedriver                        0x000000010299bd4c cxxbridge1$string$len + 316832
7   chromedriver                        0x0000000102ecc64c cxxbridge1$str$ptr + 3436672
8   chromedriver                        0x0000000102ecf988 cxxbridge1$str$ptr + 3449788
9   chromedriver                        0x0000000102eb3a5c cxxbridge1$str$ptr + 3335312
10  chromedriver                        0x0000000102ed024c cxxbridge1$str$ptr + 3452032
11  chromedriver                        0x0000000102ea4ce8 cxxbridge1$str$ptr + 3274524
12  chromedriver                        0x0000000102eea9dc cxxbridge1$str$ptr + 3560464
13  chromedriver                        0x0000000102eeab58 cxxbridge1$str$ptr + 3560844
14  chromedriver                        0x0000000102ef9ad4 cxxbridge1$str$ptr + 3622152
15  libsystem_pthread.dylib             0x000000018e8d72e4 _pthread_start + 136
16  libsystem_pthread.dylib             0x000000018e8d20fc thread_start + 8
"
coach.kait_,love that you’re all about fitness coaching from a champion's mindset - do you offer 1:1 plans?,"Error sending message: Message: 
Stacktrace:
0   chromedriver                        0x0000000100fbd5dc cxxbridge1$str$ptr + 3653648
1   chromedriver                        0x0000000100fb5e3c cxxbridge1$str$ptr + 3623024
2   chromedriver                        0x0000000100a20100 cxxbridge1$string$len + 88404
3   chromedriver                        0x0000000100a6241c cxxbridge1$string$len + 359536
4   chromedriver                        0x0000000100a9bba8 cxxbridge1$string$len + 594940
5   chromedriver                        0x0000000100a570fc cxxbridge1$string$len + 313680
6   chromedriver                        0x0000000100a57d4c cxxbridge1$string$len + 316832
7   chromedriver                        0x0000000100f8864c cxxbridge1$str$ptr + 3436672
8   chromedriver                        0x0000000100f8b988 cxxbridge1$str$ptr + 3449788
9   chromedriver                        0x0000000100f6fa5c cxxbridge1$str$ptr + 3335312
10  chromedriver                        0x0000000100f8c24c cxxbridge1$str$ptr + 3452032
11  chromedriver                        0x0000000100f60ce8 cxxbridge1$str$ptr + 3274524
12  chromedriver                        0x0000000100fa69dc cxxbridge1$str$ptr + 3560464
13  chromedriver                        0x0000000100fa6b58 cxxbridge1$str$ptr + 3560844
14  chromedriver                        0x0000000100fb5ad4 cxxbridge1$str$ptr + 3622152
15  libsystem_pthread.dylib             0x000000018e8d72e4 _pthread_start + 136
16  libsystem_pthread.dylib             0x000000018e8d20fc thread_start + 8
"
the.teachers.health.coach,"hey charlie, love how you make wellbeing manageable and focus on bitesize behaviors for teachers. do you do any 1:1 coaching?",Message sent successfully.
lifecoachingwithlauramarie,"hey derby, love how you focus on boosting confidence by unlocking full potential for 10 years now. do you do 1:1 coaching?",Message sent successfully.
theshiftworkerscoach,"hey grace, love how you’re helping shift workers actually *live* more without burning out. do you still offer 1:1 coaching sessions?",Message sent successfully.
coach4expats,"hey mariel, love how you’re all about helping people chase their dream job across borders – feels like such a gamechanger in today’s world. do you do 1:1 coaching too?",Message sent successfully.
coach.bluee,"yo lucas, i love how you talk about finding your inner beast while building muscle and burning fat at the same time. are you doing 1:1 coaching or is it group too?","Error sending message: Message: 
Stacktrace:
0   chromedriver                        0x0000000104b955dc cxxbridge1$str$ptr + 3653648
1   chromedriver                        0x0000000104b8de3c cxxbridge1$str$ptr + 3623024
2   chromedriver                        0x00000001045f8100 cxxbridge1$string$len + 88404
3   chromedriver                        0x000000010463a41c cxxbridge1$string$len + 359536
4   chromedriver                        0x0000000104673ba8 cxxbridge1$string$len + 594940
5   chromedriver                        0x000000010462f0fc cxxbridge1$string$len + 313680
6   chromedriver                        0x000000010462fd4c cxxbridge1$string$len + 316832
7   chromedriver                        0x0000000104b6064c cxxbridge1$str$ptr + 3436672
8   chromedriver                        0x0000000104b63988 cxxbridge1$str$ptr + 3449788
9   chromedriver                        0x0000000104b47a5c cxxbridge1$str$ptr + 3335312
10  chromedriver                        0x0000000104b6424c cxxbridge1$str$ptr + 3452032
11  chromedriver                        0x0000000104b38ce8 cxxbridge1$str$ptr + 3274524
12  chromedriver                        0x0000000104b7e9dc cxxbridge1$str$ptr + 3560464
13  chromedriver                        0x0000000104b7eb58 cxxbridge1$str$ptr + 3560844
14  chromedriver                        0x0000000104b8dad4 cxxbridge1$str$ptr + 3622152
15  libsystem_pthread.dylib             0x000000018e8d72e4 _pthread_start + 136
16  libsystem_pthread.dylib             0x000000018e8d20fc thread_start + 8
"
trainwithcoachkiy,"hey coach, love your mission of building the next generation of winners. are you still taking on new athletes for training sessions?",Error: Could not select the first result checkbox.
evelynkearnscoaching,"hey evelyn, i love how you focus on mindset work not just for adults but teens too - so few coaches really do that. are you still offering 1:1 coaching?",Message sent successfully.
theselfdevelopmentcoach,"hey johnny, love how you're all about bridging that emotional gap and making real behavioral change. are you still doing 1:1 coaching or just focusing on the podcast lately?",Message sent successfully.
thatswimcoachmitch,"hey mitch, i love how you’re stacking wins in the swim world while helping others hit that next level. do you only work with swim school owners or do you do general coaches too?",Message sent successfully.
official_coacht,"hey coach t, love how you’re scaling people to 7 figures without ads… mad respect for that. are you still running those free trainings?","Error sending message: Message: 
Stacktrace:
0   chromedriver                        0x00000001006995dc cxxbridge1$str$ptr + 3653648
1   chromedriver                        0x0000000100691e3c cxxbridge1$str$ptr + 3623024
2   chromedriver                        0x00000001000fc100 cxxbridge1$string$len + 88404
3   chromedriver                        0x000000010013e41c cxxbridge1$string$len + 359536
4   chromedriver                        0x0000000100177ba8 cxxbridge1$string$len + 594940
5   chromedriver                        0x00000001001330fc cxxbridge1$string$len + 313680
6   chromedriver                        0x0000000100133d4c cxxbridge1$string$len + 316832
7   chromedriver                        0x000000010066464c cxxbridge1$str$ptr + 3436672
8   chromedriver                        0x0000000100667988 cxxbridge1$str$ptr + 3449788
9   chromedriver                        0x000000010064ba5c cxxbridge1$str$ptr + 3335312
10  chromedriver                        0x000000010066824c cxxbridge1$str$ptr + 3452032
11  chromedriver                        0x000000010063cce8 cxxbridge1$str$ptr + 3274524
12  chromedriver                        0x00000001006829dc cxxbridge1$str$ptr + 3560464
13  chromedriver                        0x0000000100682b58 cxxbridge1$str$ptr + 3560844
14  chromedriver                        0x0000000100691ad4 cxxbridge1$str$ptr + 3622152
15  libsystem_pthread.dylib             0x000000018e8d72e4 _pthread_start + 136
16  libsystem_pthread.dylib             0x000000018e8d20fc thread_start + 8
"
pascal_coaching,"yo pascal, love how you mix that boxing energy with fitness coaching. are you mainly coaching 1:1 or you got group programs too?",Message sent successfully.
brock11johnson,"hey, love how you’re helping creators and biz owners not just grow but actually make money. do you still have spots open in InstaClubHub?",Message sent successfully.
the.freelance.coach,"hey anna, love how you’ve built a 6-figure freelance biz while juggling life with 3 kids and teaching 2,500+ students - do you offer 1:1 coaching too?",Message sent successfully.
coach.guillermomeza,hey! love your whole mindset shift from zero to hero - def hit home for me. do you do 1:1 coaching too?,"Error sending message: Message: 
Stacktrace:
0   chromedriver                        0x0000000104dbd5dc cxxbridge1$str$ptr + 3653648
1   chromedriver                        0x0000000104db5e3c cxxbridge1$str$ptr + 3623024
2   chromedriver                        0x0000000104820100 cxxbridge1$string$len + 88404
3   chromedriver                        0x000000010486241c cxxbridge1$string$len + 359536
4   chromedriver                        0x000000010489bba8 cxxbridge1$string$len + 594940
5   chromedriver                        0x00000001048570fc cxxbridge1$string$len + 313680
6   chromedriver                        0x0000000104857d4c cxxbridge1$string$len + 316832
7   chromedriver                        0x0000000104d8864c cxxbridge1$str$ptr + 3436672
8   chromedriver                        0x0000000104d8b988 cxxbridge1$str$ptr + 3449788
9   chromedriver                        0x0000000104d6fa5c cxxbridge1$str$ptr + 3335312
10  chromedriver                        0x0000000104d8c24c cxxbridge1$str$ptr + 3452032
11  chromedriver                        0x0000000104d60ce8 cxxbridge1$str$ptr + 3274524
12  chromedriver                        0x0000000104da69dc cxxbridge1$str$ptr + 3560464
13  chromedriver                        0x0000000104da6b58 cxxbridge1$str$ptr + 3560844
14  chromedriver                        0x0000000104db5ad4 cxxbridge1$str$ptr + 3622152
15  libsystem_pthread.dylib             0x000000018e8d72e4 _pthread_start + 136
16  libsystem_pthread.dylib             0x000000018e8d20fc thread_start + 8
"
mattyoung.mindcoach,"hey matt, love how you’ve built such credibility around overcoming anxiety with clients. are you still doing 1:1s?",Message sent successfully.
artistic_swimming_coach,"hey agata, amazing how you've built a whole program around helping both athletes and coaches come into their full potential. are your online programs 1:1 or group-based?","Error sending message: Message: 
Stacktrace:
0   chromedriver                        0x00000001034e55dc cxxbridge1$str$ptr + 3653648
1   chromedriver                        0x00000001034dde3c cxxbridge1$str$ptr + 3623024
2   chromedriver                        0x0000000102f48100 cxxbridge1$string$len + 88404
3   chromedriver                        0x0000000102f8a41c cxxbridge1$string$len + 359536
4   chromedriver                        0x0000000102fc3ba8 cxxbridge1$string$len + 594940
5   chromedriver                        0x0000000102f7f0fc cxxbridge1$string$len + 313680
6   chromedriver                        0x0000000102f7fd4c cxxbridge1$string$len + 316832
7   chromedriver                        0x00000001034b064c cxxbridge1$str$ptr + 3436672
8   chromedriver                        0x00000001034b3988 cxxbridge1$str$ptr + 3449788
9   chromedriver                        0x0000000103497a5c cxxbridge1$str$ptr + 3335312
10  chromedriver                        0x00000001034b424c cxxbridge1$str$ptr + 3452032
11  chromedriver                        0x0000000103488ce8 cxxbridge1$str$ptr + 3274524
12  chromedriver                        0x00000001034ce9dc cxxbridge1$str$ptr + 3560464
13  chromedriver                        0x00000001034ceb58 cxxbridge1$str$ptr + 3560844
14  chromedriver                        0x00000001034ddad4 cxxbridge1$str$ptr + 3622152
15  libsystem_pthread.dylib             0x000000018e8d72e4 _pthread_start + 136
16  libsystem_pthread.dylib             0x000000018e8d20fc thread_start + 8
"
prakritimadan,"hey prakriti, love how you went from 700 to 20k in 3 weeks - super impressive! are you still taking on 1:1 coaching clients?",Message sent successfully.
coach__fouad,"hey fouad, love how you integrate trx and functional training into your coaching - feels like you’re all about movement that builds real strength. curious, do you offer online 1:1 coaching?","Error sending message: Message: 
Stacktrace:
0   chromedriver                        0x00000001030915dc cxxbridge1$str$ptr + 3653648
1   chromedriver                        0x0000000103089e3c cxxbridge1$str$ptr + 3623024
2   chromedriver                        0x0000000102af4100 cxxbridge1$string$len + 88404
3   chromedriver                        0x0000000102b3641c cxxbridge1$string$len + 359536
4   chromedriver                        0x0000000102b6fba8 cxxbridge1$string$len + 594940
5   chromedriver                        0x0000000102b2b0fc cxxbridge1$string$len + 313680
6   chromedriver                        0x0000000102b2bd4c cxxbridge1$string$len + 316832
7   chromedriver                        0x000000010305c64c cxxbridge1$str$ptr + 3436672
8   chromedriver                        0x000000010305f988 cxxbridge1$str$ptr + 3449788
9   chromedriver                        0x0000000103043a5c cxxbridge1$str$ptr + 3335312
10  chromedriver                        0x000000010306024c cxxbridge1$str$ptr + 3452032
11  chromedriver                        0x0000000103034ce8 cxxbridge1$str$ptr + 3274524
12  chromedriver                        0x000000010307a9dc cxxbridge1$str$ptr + 3560464
13  chromedriver                        0x000000010307ab58 cxxbridge1$str$ptr + 3560844
14  chromedriver                        0x0000000103089ad4 cxxbridge1$str$ptr + 3622152
15  libsystem_pthread.dylib             0x000000018e8d72e4 _pthread_start + 136
16  libsystem_pthread.dylib             0x000000018e8d20fc thread_start + 8
"
harshal_milani,"hey harshal, i love how you actually walk the talk with your coaching and keep things real. do you still have space for 1:1 coaching sessions?",Message sent successfully.
jade_skillen_performance_coach,"yo, man - absolutely insane what you’ve built with the hyrox training and those 250+ wc qualifications. are you still taking on new athletes for your coaching?","Error sending message: Message: 
Stacktrace:
0   chromedriver                        0x0000000102a8d5dc cxxbridge1$str$ptr + 3653648
1   chromedriver                        0x0000000102a85e3c cxxbridge1$str$ptr + 3623024
2   chromedriver                        0x00000001024f0100 cxxbridge1$string$len + 88404
3   chromedriver                        0x000000010253241c cxxbridge1$string$len + 359536
4   chromedriver                        0x000000010256bba8 cxxbridge1$string$len + 594940
5   chromedriver                        0x00000001025270fc cxxbridge1$string$len + 313680
6   chromedriver                        0x0000000102527d4c cxxbridge1$string$len + 316832
7   chromedriver                        0x0000000102a5864c cxxbridge1$str$ptr + 3436672
8   chromedriver                        0x0000000102a5b988 cxxbridge1$str$ptr + 3449788
9   chromedriver                        0x0000000102a3fa5c cxxbridge1$str$ptr + 3335312
10  chromedriver                        0x0000000102a5c24c cxxbridge1$str$ptr + 3452032
11  chromedriver                        0x0000000102a30ce8 cxxbridge1$str$ptr + 3274524
12  chromedriver                        0x0000000102a769dc cxxbridge1$str$ptr + 3560464
13  chromedriver                        0x0000000102a76b58 cxxbridge1$str$ptr + 3560844
14  chromedriver                        0x0000000102a85ad4 cxxbridge1$str$ptr + 3622152
15  libsystem_pthread.dylib             0x000000018e8d72e4 _pthread_start + 136
16  libsystem_pthread.dylib             0x000000018e8d20fc thread_start + 8
"
willnelson_coach_,"yo will, love how you focus on ads over organic to authentically generate clients. are you still working 1:1 with coaches right now?","Error sending message: Message: 
Stacktrace:
0   chromedriver                        0x0000000104af15dc cxxbridge1$str$ptr + 3653648
1   chromedriver                        0x0000000104ae9e3c cxxbridge1$str$ptr + 3623024
2   chromedriver                        0x0000000104554100 cxxbridge1$string$len + 88404
3   chromedriver                        0x000000010459641c cxxbridge1$string$len + 359536
4   chromedriver                        0x00000001045cfba8 cxxbridge1$string$len + 594940
5   chromedriver                        0x000000010458b0fc cxxbridge1$string$len + 313680
6   chromedriver                        0x000000010458bd4c cxxbridge1$string$len + 316832
7   chromedriver                        0x0000000104abc64c cxxbridge1$str$ptr + 3436672
8   chromedriver                        0x0000000104abf988 cxxbridge1$str$ptr + 3449788
9   chromedriver                        0x0000000104aa3a5c cxxbridge1$str$ptr + 3335312
10  chromedriver                        0x0000000104ac024c cxxbridge1$str$ptr + 3452032
11  chromedriver                        0x0000000104a94ce8 cxxbridge1$str$ptr + 3274524
12  chromedriver                        0x0000000104ada9dc cxxbridge1$str$ptr + 3560464
13  chromedriver                        0x0000000104adab58 cxxbridge1$str$ptr + 3560844
14  chromedriver                        0x0000000104ae9ad4 cxxbridge1$str$ptr + 3622152
15  libsystem_pthread.dylib             0x000000018e8d72e4 _pthread_start + 136
16  libsystem_pthread.dylib             0x000000018e8d20fc thread_start + 8
"
the.socialmediacoach,"hey em, love how your smc community really seems hands-on with helping people get things done. do you do any 1:1 coaching too?",Message sent successfully.
stephandt,"hey steph, love how you blend clinical nutrition with pro bodybuilding - not something you see often. do you offer 1:1 coaching?",Message sent successfully.
iamjoelbrown,"yo joel, love how you're all about teaching respect + clarity in coaching - hard to find that balance these days. you still taking on new coaching clients?",Message sent successfully.
mindcoachhazel,"hey hazel, i love how you’re blending neuroscience with mental health and sports, that's such a unique angle. do you offer 1:1 sessions?","Error sending message: Message: 
Stacktrace:
0   chromedriver                        0x00000001027095dc cxxbridge1$str$ptr + 3653648
1   chromedriver                        0x0000000102701e3c cxxbridge1$str$ptr + 3623024
2   chromedriver                        0x000000010216c100 cxxbridge1$string$len + 88404
3   chromedriver                        0x00000001021ae41c cxxbridge1$string$len + 359536
4   chromedriver                        0x00000001021e7ba8 cxxbridge1$string$len + 594940
5   chromedriver                        0x00000001021a30fc cxxbridge1$string$len + 313680
6   chromedriver                        0x00000001021a3d4c cxxbridge1$string$len + 316832
7   chromedriver                        0x00000001026d464c cxxbridge1$str$ptr + 3436672
8   chromedriver                        0x00000001026d7988 cxxbridge1$str$ptr + 3449788
9   chromedriver                        0x00000001026bba5c cxxbridge1$str$ptr + 3335312
10  chromedriver                        0x00000001026d824c cxxbridge1$str$ptr + 3452032
11  chromedriver                        0x00000001026acce8 cxxbridge1$str$ptr + 3274524
12  chromedriver                        0x00000001026f29dc cxxbridge1$str$ptr + 3560464
13  chromedriver                        0x00000001026f2b58 cxxbridge1$str$ptr + 3560844
14  chromedriver                        0x0000000102701ad4 cxxbridge1$str$ptr + 3622152
15  libsystem_pthread.dylib             0x000000018e8d72e4 _pthread_start + 136
16  libsystem_pthread.dylib             0x000000018e8d20fc thread_start + 8
"
coachsadiq,"hey, love how you're helping spiritual + introverted entrepreneurs find their groove. do you offer 1:1 coaching?",Message sent successfully.
the.socialmediacoach,"hey emily, love how your smc community is all about giving people that extra hand when they need it. do you offer 1:1 coaching sessions?",Message sent successfully.
iamjoelbrown,"hey joel, love how you’re all about building a strong, respected coaching rep while keeping it real. do you mainly do 1:1s or group coaching too?","Error sending message: Message: 
Stacktrace:
0   chromedriver                        0x00000001030915dc cxxbridge1$str$ptr + 3653648
1   chromedriver                        0x0000000103089e3c cxxbridge1$str$ptr + 3623024
2   chromedriver                        0x0000000102af4100 cxxbridge1$string$len + 88404
3   chromedriver                        0x0000000102b3641c cxxbridge1$string$len + 359536
4   chromedriver                        0x0000000102b6fba8 cxxbridge1$string$len + 594940
5   chromedriver                        0x0000000102b2b0fc cxxbridge1$string$len + 313680
6   chromedriver                        0x0000000102b2bd4c cxxbridge1$string$len + 316832
7   chromedriver                        0x000000010305c64c cxxbridge1$str$ptr + 3436672
8   chromedriver                        0x000000010305f988 cxxbridge1$str$ptr + 3449788
9   chromedriver                        0x0000000103043a5c cxxbridge1$str$ptr + 3335312
10  chromedriver                        0x000000010306024c cxxbridge1$str$ptr + 3452032
11  chromedriver                        0x0000000103034ce8 cxxbridge1$str$ptr + 3274524
12  chromedriver                        0x000000010307a9dc cxxbridge1$str$ptr + 3560464
13  chromedriver                        0x000000010307ab58 cxxbridge1$str$ptr + 3560844
14  chromedriver                        0x0000000103089ad4 cxxbridge1$str$ptr + 3622152
15  libsystem_pthread.dylib             0x000000018e8d72e4 _pthread_start + 136
16  libsystem_pthread.dylib             0x000000018e8d20fc thread_start + 8
"
jade_skillen_performance_coach,"yo hybrid, 250+ hyrox wc qualifications is insane. are you taking on more clients or maxed out?",Message sent successfully.
the.freelance.coach,hey anna! i love how you’ve helped so many freelancers get to six figures while juggling life as a mom—super inspiring. are you still running that free training?,Message sent successfully.
